commune;pop
Atouabet;10 704
Ayacha;7 335
Ayir;27 608
Azaghar N'Irs;4 748
Azemmour (Mun.);40 920
Azghar;10 850
Azgour;6 865
Aziar;2 948
Azilal (Mun.);38 520
Azla;16 128
Azlaf;4 919
Azrar;5 038
Azrou (Mun.);54 350
Azzaba;6 444
Bab Berred;25 872
Bab Boudir;5 082
Bab Lamrissa (Arrond.);174 934
Bab Marzouka;18 520
Bab Taza;28 713
Bab Tiouka;7 697
Bahhara Ouled Ayad;31 860
Barkine;9 469
Bejaad (Mun.);46 893
Belfaa;27 699
Belyounech;5 296
Ben Ahmed (Mun.);33 105
Ben Guerir (Mun.);88 626
Ben Khlil;752
Ben Maachou;8 458
Ben Mansour;43 822
Ben M'Sick (Arrond.);131 883
Ben Smim;6 506
Ben Taieb (Mun.);14 257
Beni Malek;26 098
B‚ni Mellal (Mun.);192 676
B‚ni Mellal-Kh‚nifra;2 520 776
Benslimane (Mun.);57 101
Berkane (Mun.);109 237
Berrechid (Mun.);136 634
Bettana (Arrond.);95 291
Bghaghza;6 955
Bhalil (Mun.);12 997
Bigoudine;5 131
Bin El Ouidane;5 421
Biougra (Mun.);37 933
Bir Anzarane;6 244
Bir Ennasr;4 855
Bir Gandouz;4 625
Bir Mezoui;6 131
Bir Taleb;11 370
Bir Tam Tam;9 141
Bitit;14 316
Bizdad;7 959
Bleida;4 629
Bni Abdallah;5 983
Bni Ahmed Cherqia;12 866
Bni Ahmed Gharbia;12 978
Bni Ahmed Imoukzan;9 086
Bni Ammart;6 654
Bni Ansar (Mun.);56 582
Bni Arouss;8 193
Bni Ayat;22 900
Bni Bataou;5 113
Bni Bchir;6 527
Bni Bouayach (Mun.);18 271
Bni Bouchibet;9 032
Bni Boufrah;9 653
Bni Bouifrour;6 418
Bni Bounsar;7 660
Bni Bouzra;16 568
Bni Chegdale;11 444
Bni Chiker;26 884
Bni Darkoul;14 779
Bni Drar (Mun.);10 934
Bni Faghloum;10 378
Bni Frassen;23 429
Bni Ftah;10 919
Bni Garfett;12 994
Bni Gmil;9 513
Bni Gmil Maksouline;9 593
Bni Guil;6 726
Bni Hadifa;5 594
Bni Harchen;6 953
Bni Hassane;12 077
Bni Hilal;17 843
Bni Idder;4 823
Bni Khaled;6 745
Bni Khloug;12 930
Bni Leit;5 324
Bni Lent;11 866
Bni Makada (Arrond.);386 191
Bni Mansour;20 811
Bni Marghnine;6 263
Bni Mathar;8 870
Bni M'Hamed-Sijelmassa;14 433
Bni Oual;7 485
Bni Oukil;15 260
Bni Oukil Oulad M'Hand;10 697
Bni Oulid;10 324
Bni Ounjel Tafraout;6 962
Bni Quolla;16 049
Bni Rzine;20 904
Bni Said;9 103
Bni Salah;11 365
Bni Selmane;24 217
Bni Sidel Jbel;8 930
Bni Sidel Louta;6 283
Bni Smih;16 987
Bni Smir;6 241
Bni Snous;8 811
Bni Tadjite;16 149
Bni Tsiriss;14 067
Bni Yagrine;13 031
Bni Yakhlef;48 338
Bni Ykhlef;9 992
Bni Zoli;18 941
Bni Zrantel;6 597
Bou Azmou;9 583
Bou Jedyane;11 166
Bouabout;11 494
Bouabout Amdlane;7 541
Bouadel;12 684
Bouanane;10 035
Bouarfa (Mun.);28 846
Bouarg;37 737
Bouarouss;18 147
Bouchabel;16 084
Bouchane;9 705
Bouchaouene;13 057
Bouchfaa;10 724
Boudinar;9 863
Boudnib (Mun.);11 373
Boufakrane (Mun.);12 941
Boughriba;20 513
Bouguargouh;9 539
Bouguedra;16 014
Bouhlou;8 748
Bouhmame;23 234
Bouhouda;26 236
Bouizakarne (Mun.);14 228
Boujdour (Mun.);42 651
Boujniba (Mun.);16 030
Boukhrisse;5 204
Boukraa;558
Boulaouane;14 485
Boulemane (Mun.);7 104
Boumaiz;19 684
Boumalne Dades (Mun.);12 328
Boumerieme;8 521
Boumia;18 212
Bounaamane;10 310
Bounrar;6 304
Bouqachmir;3 631
Bourd;8 434
Bourrous;5 986
Bouskoura (Mun.);103 026
Boutferda;7 391
Boutrouch;3 650
Bouya Omar;14 154
Bouyablane;2 410
Bouzemmour;5 874
Bouzeroual;11 166
Bouznika (Mun.);37 238
Brachoua;12 025
Bradia;40 685
Braksa;7 435
Brarha;7 429
Brikcha;10 399
Bsara;1 428
Bulanouare;16 041
Bzou;14 072
Cercle : -;9 792
Cercle : -;11 879
Cercle : -;20 547
Cercle : Abda;122 458
Cercle : Afourar;52 542
